season,rank,player_id,player,age,team,position,games,games_started,minutes_per_game,field_goals_made,field_goal_attempts,field_goal_pct,three_pointers_made,three_point_attempts,three_point_pct,two_pointers_made,two_point_attempts,two_point_pct,effective_field_goal_pct,free_throws_made,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,awards,is_multi_team_total
2024-25,200,coffeam01,Amir Coffey,27,LAC,SG,72,13,24.3,3.3,7.1,0.471,1.4,3.4,0.409,1.9,3.7,0.529,0.57,1.6,1.8,0.891,0.4,1.8,2.2,1.1,0.6,0.1,0.6,1.7,9.7,,FALSE
2024-25,201,chrisma02,Max Christie,21,2TM,SG,78,36,27.3,3.2,7.6,0.427,1.5,4,0.366,1.8,3.5,0.496,0.525,1.7,1.9,0.855,0.5,2.8,3.3,1.9,0.8,0.4,1.1,1.5,9.6,,TRUE
2024-25,202,filipky01,Kyle Filipowski,21,UTA,C,72,27,21.1,3.6,7.2,0.502,1.1,3.1,0.35,2.5,4.1,0.614,0.576,1.3,2,0.65,1.6,4.6,6.1,1.9,0.7,0.3,1.4,2.4,9.6,,FALSE
2024-25,203,evbuoto01,Tosan Evbuomwan,23,BRK,SF,28,0,23.8,3.4,7.9,0.427,0.9,2.8,0.312,2.5,5.1,0.49,0.482,2,2.6,0.753,1.1,3.1,4.3,2,0.9,0.4,1.4,2,9.5,,FALSE
2024-25,204,mcbrimi01,Miles McBride,24,NYK,SG,64,10,24.9,3.5,8.5,0.406,1.8,4.9,0.369,1.7,3.7,0.455,0.511,0.8,1,0.813,0.7,1.8,2.5,2.9,1,0.3,0.6,1.7,9.5,,FALSE
2024-25,205,wilsoja03,Jalen Wilson,24,BRK,PF,79,22,25.7,3.1,7.8,0.397,1.5,4.6,0.337,1.6,3.3,0.481,0.495,1.7,2.1,0.818,0.9,2.5,3.4,1.8,0.5,0.1,1,2.1,9.5,,FALSE
2024-25,206,alexani01,Nickeil Alexander-Walker,26,MIN,SG,82,10,25.3,3.3,7.5,0.438,1.7,4.5,0.381,1.6,3,0.524,0.553,1.1,1.4,0.78,0.7,2.6,3.2,2.7,0.6,0.4,1.2,1.7,9.4,6MOY-6,FALSE
2024-25,207,anthoco01,Cole Anthony,24,ORL,PG,67,22,18.4,3.4,8.1,0.424,1.1,3.3,0.353,2.3,4.9,0.471,0.494,1.4,1.7,0.823,0.7,2.4,3,2.9,0.7,0.5,1.5,2.3,9.4,,FALSE
2024-25,208,blackan01,Anthony Black,21,ORL,PG,78,10,24.2,3.4,7.9,0.423,0.8,2.5,0.318,2.6,5.4,0.471,0.473,1.9,2.5,0.761,0.7,2.3,2.9,3.1,1.1,0.6,1.8,2.1,9.4,,FALSE
2024-25,209,strusma01,Max Strus,28,CLE,SF,50,37,25.5,3.3,7.5,0.442,2.3,5.9,0.386,1,1.6,0.65,0.594,0.6,0.7,0.824,1.1,3.3,4.3,3.2,0.5,0.2,1.1,2.1,9.4,,FALSE
2024-25,210,vukcetr01,Tristan Vukcevic,21,WAS,C,35,1,14.7,3.4,6.9,0.496,1.1,2.9,0.373,2.3,4,0.586,0.574,1.5,1.9,0.776,0.7,3,3.7,1.1,0.3,0.7,1.2,1.6,9.4,,FALSE
2024-25,211,whitmca01,Cam Whitmore,20,HOU,SF,51,3,16.2,3.5,7.9,0.444,1.3,3.6,0.355,2.2,4.3,0.518,0.525,1.1,1.4,0.75,0.7,2.3,3,1,0.6,0.3,0.9,0.9,9.4,,FALSE
2024-25,212,richani01,Nick Richards,27,2TM,C,57,43,22,3.6,6.1,0.591,0,0,0,3.6,6.1,0.594,0.591,2.1,2.8,0.744,2.6,5.6,8.2,0.9,0.2,1,1.4,2.5,9.3,,TRUE
2024-25,213,wareke01,Kel'el Ware,20,MIA,C,64,36,22.2,4,7.3,0.554,0.5,1.7,0.315,3.5,5.5,0.629,0.592,0.7,1,0.687,1.8,5.6,7.4,0.9,0.6,1.1,0.9,1.7,9.3,ROY-6,FALSE
2024-25,214,edeyza01,Zach Edey,22,MEM,C,66,55,21.5,3.8,6.6,0.58,0.3,0.8,0.346,3.5,5.8,0.612,0.6,1.4,1.9,0.709,3.5,4.8,8.3,1,0.5,1.3,1.3,2.8,9.2,ROY-5,FALSE
2024-25,215,cartewe01,Wendell Carter Jr.,25,ORL,C,68,51,25.9,3.3,7.2,0.46,0.5,2.3,0.234,2.8,4.9,0.568,0.498,1.9,2.6,0.737,2.2,5,7.2,2,0.8,0.6,1.1,2.9,9.1,,FALSE
2024-25,216,clownno01,Noah Clowney,20,BRK,PF,46,20,22.7,2.9,8.1,0.358,1.9,5.7,0.333,1,2.4,0.414,0.474,1.5,1.7,0.838,0.9,3,3.9,0.9,0.5,0.5,1,2.3,9.1,,FALSE
